Información de Meta
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Información del anunciante
Cuenta: 624918158316685,Negocio: Peña Linda Bungalows SAC,Antigua Panamericana Norte km.1213,"Mancora, Piura 15021",Peru,VAT: 20525260942

Informe de facturación: 8/7/2025 - 24/9/2025

Pago de Anuncios de Meta
Fecha,Identificador de la transacción,Método de pago,Importe,Divisa
22/9/2025,24659274740429378-24555481627475354,Visa · 2851,"670,02",PEN
16/9/2025,24504050292618487-24503884355968415,Visa · 2851,"675,28",PEN
10/9/2025,24452516157771901-24547065078317010,Visa · 2851,"673,72",PEN
5/9/2025,24516060804750768-24412006111822906,Visa · 2851,"628,50",PEN
5/9/2025,24772131335810376-24409795552043963,Visa · 2851,"41,90",PEN
1/9/2025,24394956356861213-24394956376861211,Visa · 2851,"346,70",PEN
31/8/2025,24363685439988308-24364453176578200,Visa · 6251,"14,25",PEN
28/8/2025,24437100245980161-24447345408288980,Visa · 6251,"670,05",PEN
24/8/2025,24410943225262527-24453580317665482,Visa · 2851,"673,15",PEN
18/8/2025,24259053620451490-24275178428839007,Visa · 2851,"670,04",PEN
14/8/2025,24584098517946993-24325156130507909,Visa · 2851,"670,30",PEN
11/8/2025,24297430623280460-24195800343443486,Visa · 2851,"676,50",PEN
4/8/2025,24221403637549824-24135218762834977,Visa · 2851,"670,06",PEN
31/7/2025,24197674043256119-24183506541339534,Visa · 2851,"577,06",PEN
28/7/2025,24089244740765711-24218014501222066,Visa · 2851,"670,24",PEN
25/7/2025,24059318043758381-24097133426643506,Visa · 2851,"670,07",PEN
21/7/2025,24014882761535246-24066904339666415,Visa · 2851,"673,89",PEN
17/7/2025,24085565794466945-24350162811340573,Visa · 2851,"674,43",PEN
14/7/2025,24011445521878964-24325158653840989,Visa · 6251,"676,71",PEN
,,Importe total facturado,"11.022,87",PEN

Pago de Anuncios de Meta
Método de pago: Crédito publicitario
Fecha,Identificador de la transacción,Importe,Divisa
23/9/2025,24561151136908402-24561151153575067,"0,09",PEN
,Importe total facturado,"0,09",PEN
